name,frames,a_mean,b_mean,a_std,b_std,a_range,b_range,max_da,max_db,flips,secs
ATLMAR_2025-09-11_11-00-45_track_manual_302-427_20260625_154825,168,-35.06,2.29,1.69,0.16,5.69,0.77,0.18,0.16,0,0.7
ATLMAR_2025-09-11_11-00-45_track_manual_967-1566_20260625_160820,600,-32.52,1.44,3.22,0.47,9.94,1.86,0.33,0.19,0,2.2
ATLMAR_2025-09-20_15-00-45_track_manual_1045-1964_20260625_154251,920,-46.91,13.54,0.07,0.13,0.37,0.72,0.10,0.23,0,4.1
ATLMAR_2025-09-21_15-00-47_track_manual_2170-2696_20260625_154121,527,-44.48,18.51,3.52,1.18,11.33,3.70,0.26,0.29,0,2.3
ATLMAR_2025-09-22_15-00-47_track_manual_367-1343_20260625_153841,977,-43.55,6.83,0.34,0.62,1.17,1.99,0.15,0.30,0,3.9
ATLMAR_2025-09-24_13-00-46_track_manual_355-895_20260625_153632,541,-51.21,21.79,0.09,0.16,0.40,0.72,0.08,0.19,0,2.6
ATLMAR_2025-09-27_11-00-46_track_manual_70-415_20260625_153352,346,-19.65,-8.59,0.18,0.18,0.70,0.83,0.12,0.18,0,1.4
ATLMAR_2025-09-27_13-00-46_track_manual_684-1251_20260625_153227,568,-32.20,7.03,0.26,0.14,0.89,0.66,0.14,0.27,0,2.5
ATLMAR_2025-09-28_13-00-47_trackmanual_5_0-824_20260619_172116,167,-46.14,10.04,0.04,0.07,0.19,0.34,0.11,0.24,0,0.8
ATLMAR_2025-09-28_13-00-47_trackmanual_6_0-1040_20260619_172234,185,-46.07,9.93,0.05,0.11,0.25,0.52,0.07,0.15,0,0.9
ATLMAR_2025-09-28_13-00-47_trackmanual_7_0-2538_20260619_172421,170,-45.76,9.20,0.06,0.10,0.23,0.43,0.08,0.16,0,0.8
ATLMAR_2025-09-30_11-00-45_track_manual_668-775_20260625_153008,168,-37.35,-4.84,0.05,0.09,0.24,0.40,0.09,0.17,0,0.7
ATLMAR_2025-10-01_13-00-46_track_manual_2531-2798_20260625_152746,268,-41.27,1.17,0.12,0.07,0.52,0.38,0.07,0.15,0,1.2
ATLMAR_2025-10-01_13-00-46_track_manual_73-362_20260625_152617,290,-43.48,4.79,0.18,0.29,0.64,1.02,0.09,0.18,0,1.3
ATLMAR_2025-10-01_13-00-46_track_manual_89-414_20260625_152515,326,-43.42,4.69,0.21,0.33,0.72,1.19,0.09,0.17,0,1.4
ATLMAR_2025-10-14_11-00-47_track_manual_2065-2344_20260625_152157,280,-33.49,-6.48,0.10,0.14,0.43,0.65,0.13,0.23,0,1.1
ATLMAR_2025-10-14_11-00-47_track_manual_2616-2803_20260625_152325,188,-33.30,-6.75,0.05,0.07,0.23,0.34,0.08,0.13,0,0.7
ATLMAR_2025-10-15_13-00-47_track_manual_1590-1962_20260625_151449,373,-29.80,-10.06,0.05,0.09,0.24,0.39,0.11,0.18,0,1.4
ATLMAR_2025-10-15_13-00-47_track_manual_2217-2484_20260625_151805,268,-29.79,-10.18,0.04,0.06,0.21,0.31,0.12,0.18,0,1.0
ATLMAR_2025-10-18_11-00-47_track_manual_1112-1245_20260625_124701,168,-43.75,15.71,0.04,0.08,0.19,0.39,0.08,0.20,0,0.8
ATLMAR_2025-10-18_11-00-47_track_manual_140-896_20260625_121542,757,-44.23,16.79,0.46,0.61,1.75,2.49,0.11,0.21,0,3.1
CYM_Control_S_2026-04-27_17-00_dragonets00002700_track_manual_42-218_20260826_103116,211,-22.85,-25.66,0.07,0.07,0.31,0.42,0.10,0.13,0,4.2
CYM_Control_S_2026-04-27_17-00_dragonets00002700_track_manual_76-276_20260826_104440,0,,,,,,,,,,
CYM_Control_S_2026-04-27_17-00_dragonets00002700_track_manual_91-273_20260826_131210,211,-22.86,-25.62,0.09,0.08,0.42,0.42,0.08,0.10,0,7.1
CYM_Control_S_2026-04-27_17-00_dragonets00002700_track_manual_94-196_20260826_110828,211,-22.85,-25.64,0.08,0.08,0.31,0.42,0.10,0.11,0,7.3
CYM_Control_S_2026-04-27_17-00_dragonets00004760_track_manual_162-421_20260826_131729,260,-7.63,-28.82,0.07,0.05,0.33,0.26,0.14,0.13,0,9.4
CYM_Control_S_2026-04-27_17-00_dragonets00004760_track_manual_173-297_20260826_104633,211,-22.96,-25.32,0.10,0.06,0.38,0.25,0.11,0.13,0,3.8
CYM_Control_S_2026_05-11_08-00_seagooseberry00001015_track_manual_17-97_20260826_132727,211,-6.74,-43.41,0.08,0.07,0.38,0.28,0.10,0.11,0,3.1
CYM_Control_S_2026_05-11_17-00_spidercrab00003545_track_manual_245-624_20260826_124813,380,-9.33,-39.86,0.21,0.08,0.97,0.39,0.15,0.14,0,0.4
CYM_Control_S_2026_05-11_17-00_spidercrab00003545_track_manual_294-801_20260826_134625,0,,,,,,,,,,
CYM_Control_S_2026_05-11_17-00_spidercrab00003545_track_manual_295-1036_20260826_105049,742,-9.38,-40.04,0.14,0.19,0.71,0.90,0.14,0.15,0,3.6
CYM_Control_S_2026_05-16_14-00_gobies00000735_track_manual_14-69_20260826_135214,211,-17.84,-31.59,0.08,0.05,0.34,0.26,0.09,0.10,0,4.6
CYM_Control_S_2026_05-16_14-00_gobies00000735_track_manual_8-60_20260826_111320,211,-17.84,-31.59,0.08,0.06,0.32,0.27,0.08,0.11,0,3.2
CYM_Control_S_2026_05-30_08-00_spidercrab00003420_track_manual_20-275_20260826_135537,256,-18.40,-30.19,0.20,0.11,0.74,0.46,0.12,0.15,0,2.9
CYM_Control_S_2026_05-31_17-00_scorpionfish00006050_track_manual_9-226_20260826_130943,218,-22.23,-25.51,0.29,0.17,0.96,0.70,0.15,0.14,0,2.5
CYM_Control_S_2026_06-02_11-00_brittlestargoby00004460_track_manual_4-92_20260826_135910,211,-27.79,-18.47,4.58,6.44,16.57,23.80,1.78,2.39,0,3.0
CYM_Control_S_2026_06-02_17-00_dragonet00005355_track_manual_0-53_20260826_140448,211,-21.86,-26.90,0.18,0.12,0.78,0.50,0.14,0.12,0,4.1
CYM_Control_S_2026_06-07_08-00_dragonet00003015_track_manual_33-129_20260826_140835,211,-19.03,-30.03,0.18,0.15,0.74,0.58,0.13,0.11,0,4.2
CYM_Control_S_2026_06-12_17-00_bigjelly00008375_track_manual_22-156_20260826_141100,211,-30.14,-4.44,6.36,10.96,20.35,37.43,1.59,3.47,1,3.2
CYM_Farm_S_2026-04-28_11-00_pollackcrab00008340_track_manual_133-377_20260826_141431,245,-9.20,-36.75,0.16,0.09,0.61,0.34,0.12,0.13,0,1.6
CYM_Farm_S_2026-04-29_08-00_pollack00002795_track_manual_22-238_20260826_141803,217,-16.14,-25.09,3.43,5.23,17.14,26.53,0.86,1.45,0,2.7
CYM_Farm_S_2026-04-29_17-00_pollack00003975_track_manual_18-373_20260826_142217,356,-12.67,-20.81,0.27,0.55,1.23,2.19,0.28,0.33,0,0.5
CYM_Farm_S_2026-05-04_14-00_wrasse00003290_track_manual_9-121_20260826_142607,211,-14.23,-35.32,0.15,0.04,0.49,0.21,0.07,0.10,0,4.2
CYM_Farm_S_2026-05-09_17-00_wrasse00003850_track_manual_30-230_20260826_142935,211,-17.25,-31.82,0.22,0.30,1.00,1.13,0.15,0.15,0,2.5
CYM_Farm_S_2026-05-10_11-00_dragonet00007030_track_manual_130-246_20260826_143215,211,-11.29,-38.76,0.21,0.17,0.74,0.73,0.17,0.13,0,2.6
CYM_Farm_S_2026-05-10_17-00_octopus00009640_track_manual_12-105_20260826_143609,211,-26.89,-18.57,3.94,5.47,18.14,25.31,2.05,2.53,0,0.6
CYM_Farm_S_2026-05-17_11-00_wrasse00008215_track_manual_42-192_20260826_143827,211,-21.37,-24.74,0.15,0.30,0.64,1.07,0.09,0.14,0,0.6
CYM_Farm_S_2026-05-17_17-00_wrasse00000095_track_manual_148-325_20260826_144046,211,-26.81,-20.06,0.09,0.15,0.40,0.57,0.13,0.14,0,0.7
CYM_Farm_S_2026-05-24_11-00_fishpollack00002535_track_manual_58-190_20260826_144713,211,-24.34,-23.33,0.22,0.11,0.76,0.44,0.10,0.10,0,0.6
CYM_Farm_S_2026-05-24_11-00_fishpollack00002535_track_manual_75-177_20260826_144441,211,-24.34,-23.32,0.22,0.11,0.77,0.45,0.08,0.11,0,0.6
CYM_Farm_S_2026-05-24_11-00_fishpollack00007765_track_manual_66-187_20260826_144921,211,-23.14,-25.14,0.05,0.10,0.26,0.44,0.08,0.10,0,0.7
CYM_Farm_S_2026-05-24_17-00_crab00007150_track_manual_151-935_20260826_145224,785,-18.40,-29.84,0.24,0.17,1.23,0.79,0.18,0.16,0,0.8
CYM_Farm_S_2026-05-25_11-00_pollack00002450_track_manual_25-159_20260826_145359,211,-16.85,-32.62,0.80,0.41,4.08,1.59,0.47,0.15,0,0.6
CYM_Farm_S_2026-05-25_11-00_wrasse00008360_track_manual_81-220_20260826_145658,211,-18.00,-31.21,0.14,0.08,0.57,0.33,0.08,0.11,0,0.7
CYM_Farm_S_2026-05-26_11-00_pollack00004345_track_manual_112-369_20260826_145914,258,-17.75,-30.70,4.66,5.92,15.74,20.24,2.00,2.54,0,0.4
CYM_Farm_S_2026-05-27_08-00_wrassepollack00004885_track_manual_96-357_20260826_151939,262,-5.43,-43.78,0.15,0.17,0.59,0.67,0.14,0.11,0,0.3
CYM_Farm_S_2026-05-27_08-00_wrassepollack00006095_track_manual_108-168_20260826_153241,211,-7.83,-42.17,0.33,0.17,1.08,0.62,0.12,0.11,0,0.8
CYM_Farm_S_2026-05-27_08-00_wrassepollack00008345_track_manual_70-225_20260826_153417,211,-7.23,-43.25,0.18,0.13,0.99,0.63,0.19,0.15,0,0.8
CYM_Farm_S_2026-05-28_14-00_shark00002500_track_manual_11-96_20260826_153554,211,-15.41,-34.34,0.12,0.12,0.56,0.53,0.09,0.11,0,0.7
CYM_Farm_S_2026-05-29_14-00_pollackcrab00000000_track_manual_109-391_20260826_153857,283,-45.43,19.39,0.07,0.25,0.35,1.08,0.09,0.17,0,2.4
CYM_Farm_S_2026-05-30_17-00_wrasse00004815_track_manual_42-140_20260826_154221,211,-17.47,-32.02,0.06,0.05,0.28,0.24,0.08,0.11,0,4.0
CYM_Farm_S_2026-06-02_14-00_wrasses00000605_track_manual_58-148_20260826_154530,211,-55.46,33.63,0.10,0.09,0.43,0.38,0.05,0.09,0,0.6
CYM_Farm_S_2026-06-02_14-00_wrasses00004490_track_manual_48-163_20260826_154854,211,-55.01,32.73,0.12,0.10,0.49,0.42,0.09,0.09,0,0.6
CYM_Farm_S_2026-06-07_14-00_wrasse00004840_track_manual_55-260_20260826_155035,211,-17.03,-32.08,0.11,0.06,0.45,0.33,0.09,0.11,0,0.7
CYM_Farm_S_2026-06-07_17-00_wrasse00005760_track_manual_39-174_20260826_155226,211,-12.18,-37.67,0.28,0.10,1.00,0.45,0.12,0.11,0,0.8
CYM_Farm_S_2026-06-09_08-00_wrasses00002775_track_manual_62-133_20260826_155524,211,-9.73,-40.18,1.52,1.68,7.62,8.56,0.65,0.73,0,3.7
CYM_Farm_S_2026-06-09_14-00_moonjelly00005525_track_manual_48-199_20260826_155808,211,-52.74,26.06,0.07,0.04,0.25,0.16,0.05,0.12,0,2.8
CYM_Farm_S_2026-06-10_08-00_goldsinnys00004265_track_manual_86-314_20260826_160036,229,-33.97,1.81,9.98,16.65,31.44,49.98,2.30,3.50,4,2.5
CYM_Farm_S_2026-06-10_08-00_goldsinnys00004765_track_manual_17-243_20260826_160303,227,-43.49,17.71,0.04,0.04,0.20,0.22,0.06,0.10,0,3.8
CYM_Farm_S_2026-06-10_14-00_dragonetseagooseberry00003130_track_manual_69-259_20260826_160452,211,-54.00,28.86,0.22,0.08,0.69,0.36,0.06,0.11,0,2.9
CYM_Farm_S_2026-06-12_11-00_crabwrasse00000465_track_manual_474-639_20260828_093947,211,-52.94,26.32,0.33,0.23,0.97,0.91,0.09,0.14,0,4.6
CYM_Farm_S_2026-06-12_11-00_crabwrasse00000465_track_manual_495-624_20260828_094150,211,-52.95,26.32,0.33,0.23,0.95,0.90,0.10,0.13,0,2.7
CYM_Farm_S_2026-06-13_14-00_moonjelly00009000_track_manual_24-204_20260828_094506,211,-52.92,26.50,0.07,0.07,0.38,0.37,0.05,0.12,0,3.1
