name,site,r_med,r_p99,r_zero,r_uniq
ATLMAR_2025-10-01_13-00-46_track_manual_2531-2798_20260625_152746,,0.0,8.0,0.9005049189814814,71
ATLMAR_2025-10-01_13-00-46_track_manual_73-362_20260625_152617,,0.0,11.0,0.8865219907407408,83
ATLMAR_2025-10-01_13-00-46_track_manual_89-414_20260625_152515,,0.0,11.0,0.8834466628086419,85
ATLMAR_2025-10-14_11-00-47_track_manual_2065-2344_20260625_152157,,0.0,5.0,0.9507277199074075,46
ATLMAR_2025-10-14_11-00-47_track_manual_2616-2803_20260625_152325,,0.0,5.0,0.9503491512345679,44
ATLMAR_2025-10-15_13-00-47_track_manual_1590-1962_20260625_151449,,0.0,5.0,0.9566787229938272,42
ATLMAR_2025-10-15_13-00-47_track_manual_2217-2484_20260625_151805,,0.0,4.0,0.9574729938271604,39
ATLMAR_2025-10-18_11-00-47_track_manual_1112-1245_20260625_124701,Atlantic Mariculture,0.0,6.0,0.9142660108024692,49
ATLMAR_2025-10-18_11-00-47_track_manual_140-896_20260625_121542,,0.0,11.0,0.8204967206790124,114
CYM_Control_S_2026-04-27_17-00_dragonets00002700_track_manual_42-218_20260826_103116,Ramsey Sound Control,0.0,9.0,0.8980155285493827,41
CYM_Control_S_2026-04-27_17-00_dragonets00002700_track_manual_76-276_20260826_104440,,13.0,19.0,0.008873939043209876,49
CYM_Control_S_2026-04-27_17-00_dragonets00002700_track_manual_91-273_20260826_131210,Ramsey Sound Control,0.0,9.0,0.9008449074074074,43
CYM_Control_S_2026-04-27_17-00_dragonets00002700_track_manual_94-196_20260826_110828,Ramsey Sound Control,0.0,9.0,0.9016435185185185,44
CYM_Control_S_2026-04-27_17-00_dragonets00004760_track_manual_162-421_20260826_131729,Ramsey Sound Control,63.0,84.0,0.0,83
CYM_Control_S_2026-04-27_17-00_dragonets00004760_track_manual_173-297_20260826_104633,Ramsey Sound Control,0.0,9.0,0.9004861111111111,44
CYM_Control_S_2026_05-11_08-00_seagooseberry00001015_track_manual_17-97_20260826_132727,Ramsey Sound Control,0.0,6.0,0.9239781057098766,29
CYM_Control_S_2026_05-11_17-00_spidercrab00003545_track_manual_245-624_20260826_124813,Ramsey Sound Control,12.0,18.0,0.01172019675925926,26
CYM_Control_S_2026_05-11_17-00_spidercrab00003545_track_manual_294-801_20260826_134625,,12.0,18.0,0.011929494598765432,25
CYM_Control_S_2026_05-11_17-00_spidercrab00003545_track_manual_295-1036_20260826_105049,Ramsey Sound Control,12.0,18.0,0.01029320987654321,26
CYM_Control_S_2026_05-16_14-00_gobies00000735_track_manual_14-69_20260826_135214,Ramsey Sound Control,0.0,11.0,0.8737615740740741,47
CYM_Control_S_2026_05-16_14-00_gobies00000735_track_manual_8-60_20260826_111320,Ramsey Sound Control,0.0,11.0,0.8739838927469136,50
CYM_Control_S_2026_05-30_08-00_spidercrab00003420_track_manual_20-275_20260826_135537,Ramsey Sound Control,13.0,19.0,0.01431664737654321,50
CYM_Control_S_2026_05-31_17-00_scorpionfish00006050_track_manual_9-226_20260826_130943,Ramsey Sound Control,13.0,20.0,0.017312885802469136,65
CYM_Control_S_2026_06-02_11-00_brittlestargoby00004460_track_manual_4-92_20260826_135910,Ramsey Sound Control,0.0,9.0,0.8928399884259259,48
CYM_Control_S_2026_06-02_17-00_dragonet00005355_track_manual_0-53_20260826_140448,Ramsey Sound Control,0.0,9.0,0.8822771990740741,46
CYM_Control_S_2026_06-07_08-00_dragonet00003015_track_manual_33-129_20260826_140835,Ramsey Sound Control,0.0,10.0,0.8687789351851852,47
CYM_Control_S_2026_06-12_17-00_bigjelly00008375_track_manual_22-156_20260826_141100,Ramsey Sound Control,0.0,9.0,0.9301678240740741,50
CYM_Farm_S_2026-04-28_11-00_pollackcrab00008340_track_manual_133-377_20260826_141431,Ramsey Sound Farm,11.0,17.0,0.011927083333333333,38
CYM_Farm_S_2026-04-29_08-00_pollack00002795_track_manual_22-238_20260826_141803,Ramsey Sound Farm,9.0,15.0,0.018002507716049384,40
CYM_Farm_S_2026-04-29_17-00_pollack00003975_track_manual_18-373_20260826_142217,Ramsey Sound Farm,8.0,14.0,0.05965181327160494,36
CYM_Farm_S_2026-05-04_14-00_wrasse00003290_track_manual_9-121_20260826_142607,Ramsey Sound Farm,0.0,6.0,0.9442751736111111,37
CYM_Farm_S_2026-05-09_17-00_wrasse00003850_track_manual_30-230_20260826_142935,Ramsey Sound Farm,0.0,6.0,0.9350154320987655,41
CYM_Farm_S_2026-05-10_11-00_dragonet00007030_track_manual_130-246_20260826_143215,Ramsey Sound Farm,0.0,8.0,0.9179856288580247,40
CYM_Farm_S_2026-05-10_17-00_octopus00009640_track_manual_12-105_20260826_143609,Ramsey Sound Farm,0.0,7.0,0.9276186342592593,42
CYM_Farm_S_2026-05-17_11-00_wrasse00008215_track_manual_42-192_20260826_143827,Ramsey Sound Farm,0.0,6.0,0.9433805941358024,41
CYM_Farm_S_2026-05-17_17-00_wrasse00000095_track_manual_148-325_20260826_144046,Ramsey Sound Farm,0.0,7.0,0.9179856288580247,36
CYM_Farm_S_2026-05-24_11-00_fishpollack00002535_track_manual_58-190_20260826_144713,Ramsey Sound Farm,0.0,5.0,0.9603891782407408,29
CYM_Farm_S_2026-05-24_11-00_fishpollack00002535_track_manual_75-177_20260826_144441,Ramsey Sound Farm,0.0,5.0,0.961229263117284,32
CYM_Farm_S_2026-05-24_11-00_fishpollack00007765_track_manual_66-187_20260826_144921,Ramsey Sound Farm,0.0,4.0,0.9612784529320988,32
CYM_Farm_S_2026-05-24_17-00_crab00007150_track_manual_151-935_20260826_145224,Ramsey Sound Farm,13.0,20.0,0.014737172067901235,68
CYM_Farm_S_2026-05-25_11-00_pollack00002450_track_manual_25-159_20260826_145359,Ramsey Sound Farm,0.0,7.0,0.9144796489197531,36
CYM_Farm_S_2026-05-25_11-00_wrasse00008360_track_manual_81-220_20260826_145658,Ramsey Sound Farm,0.0,7.0,0.9185778356481481,43
CYM_Farm_S_2026-05-26_11-00_pollack00004345_track_manual_112-369_20260826_145914,Ramsey Sound Farm,13.0,19.0,0.008786168981481482,40
CYM_Farm_S_2026-05-27_08-00_wrassepollack00004885_track_manual_96-357_20260826_151939,Ramsey Sound Farm,12.0,19.0,0.018715760030864198,61
CYM_Farm_S_2026-05-27_08-00_wrassepollack00006095_track_manual_108-168_20260826_153241,Ramsey Sound Farm,0.0,10.0,0.8714351851851851,52
CYM_Farm_S_2026-05-27_08-00_wrassepollack00008345_track_manual_70-225_20260826_153417,Ramsey Sound Farm,0.0,10.0,0.875162037037037,58
CYM_Farm_S_2026-05-28_14-00_shark00002500_track_manual_11-96_20260826_153554,Ramsey Sound Farm,0.0,9.0,0.8791825810185185,45
CYM_Farm_S_2026-05-29_14-00_pollackcrab00000000_track_manual_109-391_20260826_153857,Ramsey Sound Farm,35.0,49.0,0.0003997878086419753,92
CYM_Farm_S_2026-05-30_17-00_wrasse00004815_track_manual_42-140_20260826_154221,Ramsey Sound Farm,0.0,8.0,0.8964935378086419,44
CYM_Farm_S_2026-06-02_14-00_wrasses00000605_track_manual_58-148_20260826_154530,Ramsey Sound Farm,0.0,6.0,0.9376273148148148,40
CYM_Farm_S_2026-06-02_14-00_wrasses00004490_track_manual_48-163_20260826_154854,Ramsey Sound Farm,0.0,5.0,0.948599537037037,35
CYM_Farm_S_2026-06-07_14-00_wrasse00004840_track_manual_55-260_20260826_155035,Ramsey Sound Farm,0.0,7.0,0.9186207561728396,37
CYM_Farm_S_2026-06-07_17-00_wrasse00005760_track_manual_39-174_20260826_155226,Ramsey Sound Farm,0.0,8.0,0.8933367091049382,39
CYM_Farm_S_2026-06-09_08-00_wrasses00002775_track_manual_62-133_20260826_155524,Ramsey Sound Farm,0.0,9.0,0.884870273919753,53
CYM_Farm_S_2026-06-09_14-00_moonjelly00005525_track_manual_48-199_20260826_155808,Ramsey Sound Farm,0.0,8.0,0.8998837770061728,46
CYM_Farm_S_2026-06-10_08-00_goldsinnys00004265_track_manual_86-314_20260826_160036,Ramsey Sound Farm,40.0,62.0,0.0008685378086419753,112
CYM_Farm_S_2026-06-10_08-00_goldsinnys00004765_track_manual_17-243_20260826_160303,Ramsey Sound Farm,44.0,65.0,0.00032648533950617285,127
CYM_Farm_S_2026-06-10_14-00_dragonetseagooseberry00003130_track_manual_69-259_20260826_160452,Ramsey Sound Farm,0.0,8.0,0.895531925154321,40
CYM_Farm_S_2026-06-12_11-00_crabwrasse00000465_track_manual_474-639_20260828_093947,Ramsey Sound Farm,0.0,9.0,0.8774030671296297,61
CYM_Farm_S_2026-06-12_11-00_crabwrasse00000465_track_manual_495-624_20260828_094150,Ramsey Sound Farm,0.0,9.0,0.8872960069444444,50
CYM_Farm_S_2026-06-13_14-00_moonjelly00009000_track_manual_24-204_20260828_094506,Ramsey Sound Farm,0.0,9.0,0.8851649305555556,49
CYM_Farm_S_2026-06-14_14-00_wrasse00004650_track_manual_36-243_20260828_094655,Ramsey Sound Farm,0.0,9.0,0.8741719714506173,45
