clip,method,a,b,a_std,b_std,chroma,sharp,uciqe,uiqm,secs_per_frame
ALG_2020-01-27_12-00-40_track_manual_982-1162_20,fusion,0.1101869676933914,0.05838588026703381,0.01649270749325704,0.0314295257958557,6.060749022687068,15.682269986610732,0.1410545305717915,-0.9275653233821158,1.622016968648078
ALG_2020-01-27_12-00-40_track_manual_982-1162_20,fusion_us,0.11521286260886271,0.05832759669569672,0.01683167275868863,0.030638372093659345,6.169842759116751,40.9966393889578,0.1425267465392008,-0.9684400796511083,1.793237047300813
ALG_2020-01-27_12-00-40_track_manual_982-1162_20,gw,-25.94748375064037,-7.909651584312564,0.12164036837986784,0.027451231225509454,28.264265810857054,2.953168834879591,0.3835612614513383,-0.9759025854080033,0.18499805518935397
ALG_2020-01-27_12-00-40_track_manual_982-1162_20,neutral,-0.11654462970671106,-0.36940089991835295,0.010191041179973027,0.012769373116265994,3.571630751500364,38.283518205580464,0.15964923862166258,-1.112876188499004,0.31014308481585257
ALG_2020-01-27_12-00-40_track_manual_982-1162_20,orig,8.385023023261398,-56.733024347023886,0.3520491737353157,0.13491698358024187,57.918431766697616,2.659577716313659,0.3803313911342431,-0.9732097486670355,0.04647843613808985
ALG_2020-01-27_12-00-40_track_manual_982-1162_20,rc_gw,0.2568777115618596,-0.25605010986328125,0.013202608908869526,0.01540937455587218,7.0001485934023,5.634526736869246,0.1671119249759745,-0.936254074919659,0.2040773386454714
ALG_2020-01-27_12-00-40_track_manual_982-1162_20,rc_gw_cl,0.2550021312275871,-0.2532084730804944,0.013188044205131087,0.015551244881891482,7.002136504063841,37.64276629495103,0.18058260787795316,-1.074128806563508,0.20150636704587147
ALG_SC_11_2024-07-28_12-00-40_track10053_2230-23,fusion,-0.4226652333434199,1.4190216064453125,0.012296482852472585,0.03886302661067756,6.394561411629261,18.0069993326488,0.13749167262339385,-0.8445246299455449,1.8226795806703975
ALG_SC_11_2024-07-28_12-00-40_track10053_2230-23,fusion_us,-0.4150899967677157,1.4239961865922095,0.012918462980601352,0.03972161529071344,6.4178922612902145,46.47737518503589,0.13942328829683967,-0.8856704256831713,1.8289155372511154
ALG_SC_11_2024-07-28_12-00-40_track10053_2230-23,gw,-20.45652556083572,-5.177950147172095,0.033340385279889764,0.04652234681469308,27.96061666246871,1.0071135029262162,0.35238583974881477,-0.760472983385106,0.18500859251519516
ALG_SC_11_2024-07-28_12-00-40_track10053_2230-23,neutral,-0.5954104141450264,0.8551865698586048,0.01360017028092235,0.028189145649456238,3.896571525385682,16.991270536950374,0.16180560041087874,-0.9230209539461611,0.36104715717912284
ALG_SC_11_2024-07-28_12-00-40_track10053_2230-23,orig,-59.887043912645794,41.664052184198944,0.04397316734855481,0.12132437002479124,73.26139874525474,1.7405967378706577,0.41971450288388623,-0.758837123629354,0.04910039675744224
ALG_SC_11_2024-07-28_12-00-40_track10053_2230-23,rc_gw,-0.6638534975723481,2.1994429037604535,0.02707314480173143,0.05231659094667144,7.7257529648256975,2.352789308527037,0.1704605037395647,-0.7687042266372545,0.2650626869563243
ALG_SC_11_2024-07-28_12-00-40_track10053_2230-23,rc_gw_cl,-0.6803413713482064,2.203039894641285,0.02710431624005259,0.05242388334584431,7.729821211855176,16.970302411264406,0.18245022353180107,-0.8930211292988471,0.29327416080999147
ATLMAR_2025-09-27_11-00-46_track_manual_70-415_2,fusion,0.027613804258149247,-0.01780108747811153,0.012167439417937064,0.022125811781302428,2.236543030574404,16.043380321624284,0.11490704033875303,-1.0296659373622945,1.4617580444137486
ATLMAR_2025-09-27_11-00-46_track_manual_70-415_2,fusion_us,0.049185128047548494,-0.01592155982708109,0.011546660704722864,0.02208581957957112,2.8232143110242385,40.82526941519189,0.12120862465573298,-0.9288469594820007,1.4668758425409394
ATLMAR_2025-09-27_11-00-46_track_manual_70-415_2,gw,-16.04166215041588,-4.721490465361496,0.03731491761604957,0.02863802874647671,17.036615240162817,9.649946247280221,0.3840809495417313,-0.7047115200540058,0.16718870918185724
ATLMAR_2025-09-27_11-00-46_track_manual_70-415_2,neutral,-0.25140972795157596,-0.1961676498939251,0.010728872515091943,0.015996617103777748,1.4675696451088478,91.04981825621326,0.176098679172294,-0.7024558645554863,0.35574025156870054
ATLMAR_2025-09-27_11-00-46_track_manual_70-415_2,orig,-19.71950623084759,-8.551798261445144,0.18069973329487013,0.1765985548897038,22.043313240182812,9.498317655761221,0.4389744207073431,-0.706076846178634,0.05069006040606196
ATLMAR_2025-09-27_11-00-46_track_manual_70-415_2,rc_gw,0.028897778741244613,0.04477185216443292,0.019085897772411715,0.032453869465673184,2.6168544415769905,13.724611398089463,0.1675829951142754,-0.7977246714593882,0.2665940998606599
